31.47	-0.02	25.14	-0.01	25.06	11.42	cooling		
31.48	-0.01	25.15	 0.00	25.13	11.44	cooling		
31.47	-0.01	25.15	 0.00	25.13	11.43	cooling		
31.47	-0.01	25.15	 0.00	25.13	11.43	cooling		
31.48	-0.00	25.16	 0.01	25.13	11.45	cooling		
31.48	-0.00	25.17	 0.02	25.13	11.46	cooling		
31.47	-0.01	25.16	 0.01	25.13	11.45	cooling		
31.46	-0.02	25.15	-0.00	25.13	11.43	cooling		
31.48	 0.01	25.13	-0.02	25.13	11.43	cooling		
31.46	-0.02	25.13	-0.02	25.13	11.41	cooling		
31.47	-0.01	25.13	-0.02	25.13	11.42	cooling		
31.46	-0.01	25.13	-0.02	25.13	11.41	cooling		
31.48	 0.01	25.14	-0.00	25.13	11.44	cooling		
31.48	 0.00	25.12	-0.02	25.13	11.41	cooling		
31.46	-0.01	25.10	-0.03	25.13	11.39	cooling		
31.48	 0.00	25.13	-0.01	25.13	11.42	cooling		
31.48	 0.00	25.13	-0.01	25.13	11.42	cooling		
31.48	 0.00	25.12	-0.02	25.13	11.41	cooling		
31.48	 0.00	25.10	-0.02	25.13	11.40	cooling		
31.48	 0.00	25.13	-0.00	25.13	11.42	cooling		
31.50	 0.02	25.12	-0.01	25.13	11.43	cooling		
31.48	 0.01	25.13	-0.00	25.13	11.43	cooling		
31.48	 0.01	25.13	-0.00	25.13	11.43	cooling		
31.50	 0.02	25.13	-0.00	25.13	11.44	cooling		
31.51	 0.02	25.13	-0.00	25.13	11.44	cooling		
31.49	 0.01	25.12	-0.01	25.13	11.42	cooling		
31.52	 0.03	25.09	-0.03	25.13	11.42	cooling		
31.51	 0.02	25.13	 0.00	25.13	11.44	cooling		
31.50	 0.01	25.13	 0.00	25.13	11.43	cooling		
31.51	 0.02	25.13	 0.00	25.13	11.44	cooling		
31.52	 0.03	25.10	-0.02	25.13	11.42	cooling		
31.52	 0.02	25.10	-0.02	25.13	11.42	cooling		
31.51	 0.01	25.10	-0.01	25.13	11.42	cooling		
