ling		
29.67	 0.01	26.40	-0.00	26.13	12.34	cooling		
29.68	 0.02	26.38	-0.02	26.13	12.33	cooling		
29.68	 0.01	26.41	 0.01	26.13	12.36	cooling		
29.65	-0.01	26.40	-0.00	26.13	12.33	cooling		
29.67	 0.01	26.39	-0.01	26.13	12.33	cooling		
29.67	 0.01	26.39	-0.01	26.13	12.33	cooling		
29.67	 0.01	26.40	 0.00	26.13	12.34	cooling		
29.67	 0.00	26.40	 0.00	26.13	12.34	cooling		
29.68	 0.01	26.41	 0.01	26.13	12.35	cooling		
29.67	 0.00	26.41	 0.01	26.13	12.35	cooling		
29.67	 0.00	26.40	-0.00	26.13	12.34	cooling		
29.68	 0.01	26.40	-0.00	26.13	12.34	cooling		
29.68	 0.01	26.41	 0.01	26.13	12.35	cooling		
29.69	 0.02	26.40	-0.00	26.13	12.35	cooling		
29.68	 0.01	26.40	-0.00	26.13	12.34	cooling		
29.67	-0.00	26.41	 0.01	26.13	12.35	cooling		
29.67	-0.00	26.42	 0.02	26.13	12.36	cooling		
29.68	 0.01	26.41	 0.01	26.13	12.35	cooling		
29.68	 0.00	26.40	-0.00	26.13	12.34	cooling		
29.68	 0.00	26.41	 0.01	26.13	12.35	cooling		
29.67	-0.00	26.41	 0.00	26.13	12.34	cooling		
29.68	 0.00	26.42	 0.01	26.13	12.36	cooling		
29.67	-0.00	26.42	 0.01	26.13	12.36	cooling		
29.69	 0.02	26.42	 0.01	26.13	12.37	cooling		
29.67	-0.00	26.40	-0.01	26.13	12.33	cooling		
29.68	 0.00	26.41	 0.00	26.13	12.35	cooling		
29.67	-0.00	26.42	 0.01	26.13	12.35	cooling		
29.66	-0.01	26.42	 0.01	26.13	12.35	cooling		
29.67	-0.00	26.42	 0.01	26.13	12.36	cooling		
29.64	-0.03	26.42	 0.01	26.13	12.33	cooling		
29.67	 0.00	26.40	-0.01	26.13	12.34	cooling		
29.64	-0.02	26.42	 0.01	26.13	12.34	cooling		
29.64	-0.02	26.42	 0.01	26.13	12.34	cooling		
29.64	-0.02	26.41	-0.00	26.13	12.33	cooling		
29.63	-0.03	26.41	-0.00	26.13	12.32	cooling		
29.61	-0.04	26.42	 0.01	26.13	12.32	cooling		
29.63	-0.02	26.42	 0.01	26.13	12.34	cooling		
29.61	-0.04	26.42	 0.01	26.13	12.32	cooling		
29.60	-0.04	26.41	-0.00	26.13	12.31	cooling		
29.60	-0.04	26.42	 0.01	26.13	12.32	cooling		
29.60	-0.03	26.41	-0.00	26.13	12.31	cooling		
29.61	-0.02	26.42	 0.01	26.13	12.33	cooling		
